iter	Passed	Remaining
261	2202	6203
262	2205	6179
263	2211	6165
264	2217	6149
265	2219	6125
266	2224	6106
267	2229	6089
268	2233	6069
269	2236	6045
270	2241	6029
271	2245	6010
272	2248	5987
273	2251	5965
274	2256	5948
275	2260	5928
276	2263	5908
277	2266	5887
278	2273	5874
279	2277	5855
280	2279	5833
281	2285	5818
282	2289	5800
283	2292	5780
284	2295	5757
285	2298	5739
286	2302	5720
287	2306	5701
288	2308	5680
289	2311	5659
290	2318	5648
291	2322	5630
292	2324	5609
293	2330	5595
294	2333	5577
295	2337	5559
296	2340	5539
297	2344	5521
298	2349	5507
299	2353	5491
300	2356	5471
301	2362	5459
302	2365	5440
303	2367	5421
304	2370	5400
305	2375	5387
306	2378	5369
307	2382	5352
308	2385	5334
309	2392	5325
310	2397	5311
311	2399	5292
312	2404	5276
313	2409	5264
314	2413	5248
315	2416	5230
316	2422	5219
317	2426	5203
318	2428	5184
319	2430	5165
320	2433	5148
321	2438	5134
322	2442	5119
323	2445	5102
324	2455	5100
325	2459	5084
326	2461	5066
327	2471	5063
328	2475	5048
329	2477	5030
330	2485	5024
331	2490	5011
332	2493	4994
333	2499	4984
334	2502	4968
335	2505	4951
336	2507	4933
337	2512	4920
338	2515	4905
339	2521	4894
340	2523	4877
341	2532	4872
342	2536	4858
343	2543	4851
344	2547	4836
345	2551	4823
346	2553	4806
347	2558	4794
348	2562	4779
349	2565	4764
350	2569	4750
351	2574	4739
352	2578	4726
353	2582	4712
354	2585	4697
355	2591	4688
356	2595	4675
357	2599	4662
358	2607	4655
359	2611	4642
360	2617	4633
361	2622	4621
362	2625	4607
363	2629	4594
364	2633	4581
365	2637	4568
366	2640	4554
367	2643	4540
368	2646	4525
369	2651	4514
370	2654	4500
371	2657	4486
372	2659	4471
373	2663	4457
374	2667	4446
375	2673	4436
376	2675	4421
377	2680	4410
378	2685	4400
379	2688	4387
380	2692	4374
381	2698	4366
382	2702	4354
383	2706	4340
384	2712	4333
385	2715	4320
386	2719	4307
387	2721	4292
388	2726	4282
389	2729	4268
390	2732	4256
391	2735	4242
392	2737	4227
393	2743	4220
394	2747	4207
395	2750	4195
396	2752	4180
397	2757	4171
398	2761	4159
399	2764	4146
400	2766	4132
401	2771	4122
402	2775	4111
403	2778	4098
404	2780	4085
405	2782	4071
406	2787	4060
407	2789	4048
408	2792	4035
409	2795	4022
